Order ID;Order Date;Ship Date;IdShipMode;Customer ID
CA-2016-142545;28/10/2016;3/11/2016;2;JD-15895
US-2017-152380;19/11/2017;23/11/2017;2;JH-15910
CA-2015-144253;4/5/2015;9/5/2015;1;AS-10225
CA-2014-130960;30/12/2014;4/1/2015;2;KB-16600
CA-2014-111003;1/6/2014;6/6/2014;2;CR-12625
CA-2017-126774;15/4/2017;17/4/2017;3;SH-20395
CA-2016-142902;12/9/2016;14/9/2016;1;BP-11185
CA-2014-120887;27/9/2014;3/10/2014;2;TS-21205
CA-2014-167850;9/8/2014;16/8/2014;2;AG-10525
CA-2014-164259;28/12/2014;30/12/2014;3;SP-20860
CA-2014-164973;4/11/2014;9/11/2014;2;NM-18445
CA-2014-156601;19/9/2014;24/9/2014;2;FA-14230
CA-2016-162138;23/4/2016;27/4/2016;2;GK-14620
CA-2017-153339;3/11/2017;5/11/2017;1;DJ-13510
US-2016-141544;30/8/2016;1/9/2016;3;PO-18850
US-2016-150147;25/4/2016;29/4/2016;1;JL-15850
CA-2015-137946;1/9/2015;4/9/2015;1;DB-13615
CA-2014-129924;12/7/2014;17/7/2014;2;AC-10420
CA-2015-128167;22/6/2015;26/6/2015;1;KL-16645
CA-2014-122336;13/4/2014;17/4/2014;1;JD-15895
US-2015-120712;20/12/2015;24/12/2015;2;CS-12130
CA-2017-169901;15/6/2017;19/6/2017;2;CC-12550
CA-2017-134306;8/7/2017;12/7/2017;2;TD-20995
CA-2016-129714;1/9/2016;3/9/2016;3;AB-10060
CA-2016-138520;8/4/2016;13/4/2016;2;JL-15505
CA-2016-130001;23/4/2016;28/4/2016;2;HK-14890
CA-2017-155698;8/3/2017;11/3/2017;3;VB-21745
CA-2017-144904;25/9/2017;1/10/2017;2;KW-16435
CA-2014-123344;24/9/2014;29/9/2014;2;JD-16060
CA-2016-155516;21/10/2016;21/10/2016;4;MK-17905
CA-2017-104745;29/5/2017;4/6/2017;2;GT-14755
US-2014-119137;23/7/2014;27/7/2014;2;AG-10900
US-2016-134656;28/9/2016;1/10/2016;3;MM-18280
US-2017-134481;27/8/2017;1/9/2017;2;AR-10405
CA-2015-130792;28/4/2015;5/5/2015;2;RA-19915
CA-2016-134775;28/10/2016;29/10/2016;3;AS-10285
CA-2015-125395;26/6/2015;29/6/2015;1;LA-16780
US-2015-168935;27/11/2015;2/12/2015;2;DO-13435
CA-2015-122756;3/12/2015;7/12/2015;2;DK-13225
CA-2014-115973;24/11/2014;26/11/2014;3;NG-18430
CA-2017-101798;11/12/2017;15/12/2017;2;MV-18190
US-2014-135972;21/9/2014;23/9/2014;1;JG-15115
US-2014-134971;7/6/2014;10/6/2014;1;BP-11095
CA-2017-102946;30/6/2017;5/7/2017;2;VP-21730
CA-2017-165603;17/10/2017;19/10/2017;1;SS-20140
CA-2015-122259;31/10/2015;4/11/2015;2;HP-14815
CA-2016-108987;8/9/2016;10/9/2016;1;AG-10675
CA-2014-113166;24/12/2014;26/12/2014;3;LF-17185
CA-2014-155208;16/4/2014;20/4/2014;2;SP-20650
CA-2017-117933;24/12/2017;29/12/2017;2;RF-19840
CA-2017-117457;8/12/2017;12/12/2017;2;KH-16510
CA-2017-142636;3/11/2017;7/11/2017;2;KC-16675
CA-2017-122105;24/6/2017;28/6/2017;2;CJ-12010
CA-2016-148796;14/4/2016;18/4/2016;2;PB-19150
CA-2017-154816;6/11/2017;10/11/2017;2;VB-21745
CA-2017-110478;4/3/2017;9/3/2017;2;SP-20860
CA-2014-142048;22/6/2014;25/6/2014;3;JE-15745
CA-2017-125388;19/10/2017;23/10/2017;2;MP-17965
CA-2017-155705;21/8/2017;23/8/2017;1;NF-18385
CA-2017-149160;23/11/2017;26/11/2017;1;JM-15265
CA-2014-101476;12/9/2014;13/9/2014;3;SD-20485
CA-2017-152275;1/10/2017;8/10/2017;2;KH-16630
US-2016-123750;15/4/2016;21/4/2016;2;RB-19795
CA-2016-127369;6/6/2016;7/6/2016;3;DB-13060
US-2014-150574;19/12/2014;25/12/2014;2;MK-18160
CA-2016-147375;12/6/2016;14/6/2016;1;PO-19180
CA-2017-130043;15/9/2017;19/9/2017;2;BB-11545
CA-2017-157252;20/1/2017;23/1/2017;1;CV-12805
CA-2016-115756;5/9/2016;7/9/2016;1;PK-19075
CA-2017-154214;20/3/2017;25/3/2017;1;TB-21595
CA-2016-166674;1/4/2016;3/4/2016;1;RB-19360
CA-2017-147277;20/10/2017;24/10/2017;2;EB-13705
CA-2016-100153;13/12/2016;17/12/2016;2;KH-16630
US-2014-110674;12/2/2014;18/2/2014;2;SC-20095
US-2016-157945;26/9/2016;1/10/2016;2;NF-18385
CA-2015-109638;15/12/2015;22/12/2015;2;JH-15985
CA-2016-109869;22/4/2016;29/4/2016;2;TN-21040
US-2015-101399;17/1/2015;24/1/2015;2;JS-15940
CA-2017-154907;31/3/2017;4/4/2017;2;DS-13180
US-2016-100419;16/12/2016;20/12/2016;1;CC-12670
CA-2015-154144;20/12/2015;24/12/2015;2;MH-17785
CA-2014-144666;9/11/2014;11/11/2014;1;JP-15520
CA-2016-103891;12/7/2016;19/7/2016;2;KH-16690
CA-2016-152632;27/10/2016;2/11/2016;2;JE-15475
CA-2016-100790;26/6/2016;2/7/2016;2;JG-15805
CA-2014-134677;6/10/2014;10/10/2014;2;XP-21865
CA-2014-127691;22/7/2014;27/7/2014;2;EM-14065
CA-2017-140963;10/6/2017;13/6/2017;3;MT-18070
CA-2014-154627;29/10/2014;31/10/2014;3;SA-20830
CA-2014-133753;9/6/2014;13/6/2014;1;CW-11905
CA-2014-113362;14/9/2014;19/9/2014;2;AJ-10960
CA-2016-169166;9/5/2016;14/5/2016;2;SS-20590
US-2016-120929;18/3/2016;21/3/2016;1;RO-19780
CA-2015-134782;27/12/2015;31/12/2015;2;MD-17350
CA-2016-126158;25/7/2016;31/7/2016;2;SC-20095
US-2016-105578;30/5/2016;4/6/2016;2;MY-17380
CA-2017-134978;12/11/2017;15/11/2017;1;EB-13705
CA-2015-145352;16/3/2015;22/3/2015;2;CM-12385
CA-2017-135307;26/11/2017;27/11/2017;3;LS-17245
CA-2016-106341;20/10/2016;23/10/2016;3;LF-17185
CA-2017-163405;21/12/2017;25/12/2017;2;BN-11515
CA-2017-127432;22/1/2017;27/1/2017;2;AD-10180
CA-2015-157812;22/3/2015;26/3/2015;2;DB-13210
CA-2017-145142;23/1/2017;25/1/2017;3;MC-17605
US-2016-139486;21/5/2016;23/5/2016;3;LH-17155
CA-2015-158792;26/12/2015;2/1/2016;2;BD-11605
CA-2017-113558;21/10/2017;26/10/2017;2;PH-18790
US-2015-138303;3/9/2015;7/9/2015;2;MG-18145
CA-2015-102848;7/11/2015;9/11/2015;1;KB-16240
US-2017-129441;7/9/2017;11/9/2017;2;JC-15340
CA-2016-168753;29/5/2016;1/6/2016;1;RL-19615
CA-2016-126613;10/7/2016;16/7/2016;2;AA-10375
US-2017-122637;3/9/2017;8/9/2017;1;EP-13915
CA-2015-147851;3/12/2015;8/12/2015;2;MP-17470
CA-2015-134894;7/12/2015;11/12/2015;2;DK-12985
CA-2014-140795;1/2/2014;3/2/2014;3;BD-11500
CA-2016-136924;14/7/2016;17/7/2016;3;ES-14080
US-2015-120161;18/12/2015;23/12/2015;2;LM-17065
CA-2014-103849;11/5/2014;16/5/2014;2;PG-18895
CA-2017-162929;19/11/2017;22/11/2017;3;AS-10135
CA-2015-113173;15/11/2015;17/11/2015;1;DK-13225
CA-2016-136406;15/4/2016;17/4/2016;1;BD-11320
CA-2017-112774;11/9/2017;12/9/2017;3;RC-19960
CA-2017-101945;24/11/2017;28/11/2017;2;GT-14710
CA-2017-100650;29/6/2017;3/7/2017;1;DK-13225
CA-2014-155852;3/3/2014;7/3/2014;1;AJ-10945
CA-2016-113243;10/6/2016;15/6/2016;2;OT-18730
CA-2017-118731;20/11/2017;22/11/2017;1;LP-17080
CA-2014-145576;14/9/2014;18/9/2014;1;CA-12775
CA-2015-130736;7/12/2015;9/12/2015;3;JF-15490
CA-2017-137099;7/12/2017;10/12/2017;3;FP-14320
CA-2017-156951;1/10/2017;8/10/2017;2;EB-13840
CA-2017-164826;28/12/2017;4/1/2018;2;JF-15415
CA-2016-127250;3/11/2016;7/11/2016;2;SF-20200
CA-2015-149713;18/9/2015;22/9/2015;1;TG-21640
CA-2017-118640;20/7/2017;26/7/2017;2;CS-11950
CA-2015-132906;10/9/2015;14/9/2015;2;CC-12145
CA-2017-145233;1/12/2017;5/12/2017;2;DV-13465
CA-2015-128139;3/7/2015;9/7/2015;2;BD-11725
US-2016-156986;20/3/2016;24/3/2016;2;ZC-21910
CA-2014-135405;9/1/2014;13/1/2014;2;MS-17830
CA-2014-131450;8/8/2014;15/8/2014;2;LR-16915
CA-2016-120180;14/7/2016;16/7/2016;3;TP-21130
US-2016-100720;16/7/2016;21/7/2016;2;CK-12205
CA-2014-149958;15/3/2014;19/3/2014;2;AS-10240
US-2014-105767;23/5/2014;27/5/2014;2;AR-10510
CA-2016-161816;28/4/2016;1/5/2016;3;NB-18655
CA-2016-121223;11/9/2016;13/9/2016;1;GD-14590
CA-2017-138611;14/11/2017;17/11/2017;1;CK-12595
CA-2017-117947;18/8/2017;23/8/2017;1;NG-18355
US-2014-111171;26/12/2014;31/12/2014;2;CA-12265
CA-2015-138009;29/11/2015;3/12/2015;2;SF-20965
CA-2017-163020;15/9/2017;19/9/2017;2;MO-17800
CA-2017-153787;19/5/2017;23/5/2017;2;AT-10735
CA-2017-133431;17/12/2017;21/12/2017;2;LC-17140
US-2016-135720;11/12/2016;13/12/2016;1;FM-14380
CA-2017-144694;24/9/2017;26/9/2017;1;BD-11605
CA-2015-168004;4/10/2015;9/10/2015;1;DJ-13420
US-2016-123470;15/8/2016;21/8/2016;2;ME-17725
CA-2016-115917;20/5/2016;25/5/2016;2;RB-19465
CA-2016-147067;18/12/2016;22/12/2016;2;JD-16150
CA-2017-167913;30/7/2017;3/8/2017;1;JL-15835
CA-2017-106103;10/6/2017;15/6/2017;2;SC-20305
US-2017-127719;21/7/2017;25/7/2017;2;TW-21025
CA-2017-126221;30/12/2017;5/1/2018;2;CC-12430
CA-2016-103947;1/4/2016;8/4/2016;2;BB-10990
CA-2016-160745;11/12/2016;16/12/2016;1;AR-10825
CA-2016-132661;23/10/2016;29/10/2016;2;SR-20740
CA-2017-140844;19/6/2017;23/6/2017;2;AR-10405
CA-2016-137239;22/8/2016;28/8/2016;2;CR-12730
US-2016-156097;19/9/2016;19/9/2016;4;EH-14125
CA-2015-146563;24/8/2015;28/8/2015;2;CB-12025
CA-2016-123666;26/3/2016;30/3/2016;2;SP-20545
CA-2016-143308;4/11/2016;4/11/2016;4;RC-19825
CA-2017-132682;8/6/2017;10/6/2017;1;TH-21235
CA-2014-156314;24/12/2014;26/12/2014;3;RP-19390
US-2017-106663;9/6/2017;13/6/2017;2;MO-17800
CA-2017-111178;15/6/2017;22/6/2017;2;TD-20995
CA-2017-130351;5/12/2017;8/12/2017;3;RB-19570
US-2017-119438;18/3/2017;23/3/2017;2;CD-11980
CA-2016-164511;19/11/2016;24/11/2016;2;DJ-13630
US-2017-168116;4/11/2017;4/11/2017;4;GT-14635
CA-2014-157784;5/7/2014;8/7/2014;3;MC-17845
CA-2017-161480;25/12/2017;29/12/2017;2;RA-19285
US-2014-117135;21/6/2014;23/6/2014;1;NP-18325
CA-2015-131534;28/3/2015;2/4/2015;2;AB-10165
CA-2015-119291;14/5/2015;17/5/2015;3;JO-15550
CA-2017-114552;2/9/2017;8/9/2017;2;Dl-13600
CA-2016-163755;4/11/2016;8/11/2016;1;AS-10285
CA-2015-142027;9/4/2015;14/4/2015;2;JK-15370
CA-2014-138527;12/9/2014;17/9/2014;2;BN-11470
CA-2014-112158;2/12/2014;4/12/2014;3;DP-13165
CA-2014-113887;5/4/2014;7/4/2014;3;TH-21550
CA-2017-146136;3/9/2017;7/9/2017;2;AP-10915
US-2017-100048;19/5/2017;24/5/2017;2;RS-19765
CA-2014-153150;1/7/2014;6/7/2014;1;Dl-13600
CA-2014-130092;11/1/2014;14/1/2014;3;SV-20365
CA-2017-108910;24/9/2017;29/9/2017;2;KC-16540
CA-2014-104472;2/6/2014;7/6/2014;2;CK-12325
CA-2016-112942;13/2/2016;18/2/2016;2;RD-19810
CA-2016-142335;15/12/2016;19/12/2016;2;MP-17965
CA-2014-117429;7/10/2014;13/10/2014;2;MR-17545
CA-2016-114713;7/7/2016;12/7/2016;2;SC-20695
CA-2017-144113;16/9/2017;20/9/2017;2;JF-15355
US-2016-150861;3/12/2016;6/12/2016;3;EG-13900
CA-2017-131954;21/1/2017;25/1/2017;2;DS-13030
CA-2014-132500;8/9/2014;12/9/2014;2;GZ-14470
CA-2014-112326;4/1/2014;8/1/2014;2;PO-19195
US-2016-146710;27/8/2016;1/9/2016;2;SS-20875
CA-2014-124429;27/5/2014;27/5/2014;4;MH-17785
CA-2016-150889;20/3/2016;22/3/2016;1;PB-19105
CA-2017-126074;2/10/2017;6/10/2017;2;RF-19735
CA-2016-110499;7/4/2016;9/4/2016;3;YC-21895
CA-2015-135272;7/12/2015;12/12/2015;2;MS-17830
CA-2016-140928;18/9/2016;22/9/2016;2;NB-18655
CA-2014-106803;29/12/2014;2/1/2015;2;DC-13285
CA-2017-117240;23/7/2017;28/7/2017;2;CP-12340
CA-2017-133333;18/9/2017;22/9/2017;2;BF-11020
CA-2015-112319;31/8/2015;5/9/2015;2;AR-10510
CA-2017-126046;3/11/2017;7/11/2017;2;JC-16105
CA-2015-114923;8/2/2015;13/2/2015;2;LH-17020
CA-2014-162775;13/1/2014;15/1/2014;1;CS-12250
CA-2014-106810;14/5/2014;20/5/2014;2;AJ-10795
CA-2016-157245;19/5/2016;24/5/2016;2;LE-16810
CA-2017-104220;30/1/2017;5/2/2017;2;BV-11245
CA-2014-165974;29/6/2014;6/7/2014;2;DL-12865
CA-2015-144267;21/8/2015;23/8/2015;3;NZ-18565
US-2015-157014;3/10/2015;6/10/2015;1;BM-11785
CA-2015-154921;23/5/2015;28/5/2015;2;EA-14035
CA-2017-129567;17/3/2017;21/3/2017;1;CL-12565
CA-2015-154620;12/12/2015;16/12/2015;2;LT-17110
CA-2015-115938;26/6/2015;30/6/2015;2;SA-20830
CA-2016-105256;20/5/2016;20/5/2016;4;JK-15730
CA-2014-156433;20/9/2014;26/9/2014;2;ES-14020
CA-2017-151428;21/9/2017;26/9/2017;2;RH-19495
CA-2015-124653;24/12/2015;26/12/2015;3;DB-13120
CA-2015-101910;27/11/2015;3/12/2015;2;CD-11920
CA-2017-105809;20/2/2017;23/2/2017;3;HW-14935
CA-2016-136133;18/8/2016;23/8/2016;1;HW-14935
CA-2016-115504;12/3/2016;17/3/2016;2;MC-18130
CA-2017-135783;22/4/2017;24/4/2017;3;GM-14440
CA-2014-134313;1/11/2014;7/11/2014;2;RA-19915
CA-2015-140921;3/2/2015;5/2/2015;3;AA-10375
CA-2014-151995;13/10/2014;15/10/2014;3;ZC-21910
CA-2017-143686;14/5/2017;14/5/2017;4;PJ-19015
CA-2015-106565;20/3/2015;23/3/2015;3;BW-11110
CA-2016-149370;15/9/2016;19/9/2016;2;DB-13210
CA-2014-140858;28/6/2014;2/7/2014;2;CA-12775
CA-2017-101434;20/6/2017;27/6/2017;2;TR-21325
US-2014-102071;9/5/2014;15/5/2014;2;PG-18820
CA-2017-126956;21/8/2017;28/8/2017;2;GT-14710
CA-2017-129462;16/6/2017;21/6/2017;1;JE-15745
CA-2016-165316;23/7/2016;27/7/2016;2;JB-15400
US-2014-115987;8/9/2014;13/9/2014;1;LH-17020
US-2017-156083;4/11/2017;11/11/2017;2;JL-15175
US-2016-137547;7/3/2016;12/3/2016;2;EB-13705
CA-2015-100454;20/11/2015;25/11/2015;2;BM-11650
CA-2016-161669;7/11/2016;9/11/2016;3;EM-14095
CA-2015-114300;13/10/2015;17/10/2015;2;AF-10885
CA-2017-107503;1/1/2017;6/1/2017;2;GA-14725
CA-2014-107755;7/2/2014;12/2/2014;2;CK-12760
CA-2016-152534;20/6/2016;25/6/2016;1;DP-13105
CA-2016-113747;28/5/2016;4/6/2016;2;VD-21670
CA-2016-123274;19/2/2016;24/2/2016;2;GT-14710
CA-2014-125612;3/8/2014;8/8/2014;2;BK-11260
CA-2017-161984;10/4/2017;15/4/2017;2;SJ-20125
CA-2014-133851;9/6/2014;16/6/2014;2;CM-12445
CA-2016-134474;5/1/2016;7/1/2016;1;AJ-10795
CA-2014-149020;10/1/2014;15/1/2014;2;AJ-10780
CA-2016-134362;29/9/2016;2/10/2016;3;LS-16945
CA-2014-136742;6/4/2014;10/4/2014;2;GP-14740
CA-2016-158099;3/9/2016;5/9/2016;3;PK-18910
CA-2015-131128;19/10/2015;20/10/2015;3;TB-21520
CA-2014-148488;10/12/2014;15/12/2014;2;SM-20005
CA-2017-114636;25/8/2017;29/8/2017;2;GA-14725
CA-2016-116736;17/1/2016;21/1/2016;2;CC-12430
US-2014-158638;17/9/2014;21/9/2014;2;AG-10765
CA-2017-111689;30/11/2017;2/12/2017;1;HP-14815
CA-2015-129098;9/10/2015;13/10/2015;2;DK-13090
US-2017-123463;23/12/2017;23/12/2017;4;GZ-14470
CA-2016-165148;22/10/2016;24/10/2016;3;PM-19135
CA-2014-134061;29/4/2014;4/5/2014;2;LL-16840
CA-2015-143602;25/4/2015;28/4/2015;1;JS-15595
CA-2017-115364;26/6/2017;2/7/2017;2;OT-18730
CA-2017-150707;14/10/2017;19/10/2017;2;EL-13735
CA-2014-104976;9/12/2014;16/12/2014;2;CK-12760
CA-2017-132934;20/6/2017;26/6/2017;2;JE-15475
CA-2017-133256;26/6/2017;27/6/2017;3;TH-21550
CA-2016-105494;10/11/2016;12/11/2016;3;PC-18745
CA-2016-140634;3/10/2016;6/10/2016;1;HL-15040
CA-2014-144407;9/9/2014;15/9/2014;2;MS-17365
CA-2017-160983;29/10/2017;31/10/2017;1;GB-14530
US-2016-114622;10/4/2016;12/4/2016;3;JR-16210
CA-2017-150959;11/11/2017;13/11/2017;3;TD-20995
CA-2017-132353;15/9/2017;17/9/2017;3;DB-13060
CA-2016-130477;8/4/2016;12/4/2016;2;LC-17140
CA-2017-143259;30/12/2017;3/1/2018;2;PO-18865
CA-2017-137596;2/9/2017;7/9/2017;2;BE-11335
CA-2015-133627;31/5/2015;7/6/2015;2;SC-20050
CA-2017-102519;27/11/2017;29/11/2017;3;BM-11650
US-2014-141215;15/6/2014;21/6/2014;2;KL-16555
CA-2016-165218;5/3/2016;11/3/2016;2;RW-19630
CA-2014-138296;5/12/2014;12/12/2014;2;RC-19825
CA-2015-111164;11/4/2015;15/4/2015;2;SE-20110
CA-2016-149797;15/9/2016;20/9/2016;2;AH-10075
CA-2014-132962;13/9/2014;16/9/2014;3;JM-15535
CA-2015-115091;5/10/2015;9/10/2015;2;JJ-15760
CA-2017-144932;14/4/2017;17/4/2017;3;AB-10165
CA-2017-114216;2/9/2017;6/9/2017;2;RK-19300
CA-2016-140081;20/6/2016;24/6/2016;2;CG-12040
US-2017-111745;5/11/2017;6/11/2017;3;RA-19885
CA-2015-148250;13/12/2015;17/12/2015;2;RP-19270
CA-2016-105760;19/6/2016;20/6/2016;3;KC-16255
CA-2016-142958;13/12/2016;20/12/2016;2;RW-19630
CA-2015-120880;29/5/2015;3/6/2015;2;JL-15850
