Product ID;Product Name;IdCategory;IdSub-Category;Sales
OFF-EN-10001509;Poly String Tie Envelopes;2;13;3.264
OFF-AR-10004042;BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain;2;7;86.304
OFF-BI-10001525;"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red";2;9;6.858
OFF-AR-10001683;Lumber Crayons;2;7;15.76
OFF-PA-10000249;Easy-staple paper;2;11;29.472
TEC-PH-10004977;GE 30524EE4;3;8;1097.544
FUR-FU-10003664;Electrix Architect's Clamp-On Swing Arm Lamp, Black;1;6;190.92
OFF-EN-10002986;"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes";2;13;113.328
FUR-BO-10002545;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;1;1;532.3992
FUR-CH-10004218;Global Fabric Manager's Chair, Dark Gray;1;2;212.058
TEC-PH-10000486;Plantronics HL10 Handset Lifter;3;8;371.168
TEC-PH-10004093;Panasonic Kx-TS550;3;8;147.168
OFF-ST-10003479;Eldon Base for stackable storage shelf, platinum;2;5;77.88
OFF-ST-10003282;Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers;2;5;95.616
TEC-AC-10000171;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack;3;12;45.98
OFF-BI-10003291;Wilson Jones Leather-Like Binders with DublLock Round Rings;2;9;17.46
OFF-ST-10001713;Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black;2;5;211.96
TEC-AC-10002167;Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive;3;12;45
TEC-PH-10003988;LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite;3;8;21.8
OFF-BI-10004410;C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack;2;9;38.22
OFF-LA-10002762;Avery 485;2;3;75.18
FUR-FU-10001706;Longer-Life Soft White Bulbs;1;6;6.16
FUR-CH-10003061;Global Leather Task Chair, Black;1;2;89.99
OFF-FA-10000304;Advantus Push Pins;2;14;15.26
TEC-PH-10002447;AT&T CL83451 4-Handset Telephone;3;8;1029.95
OFF-ST-10000604;Home/Office Personal File Carts;2;5;208.56
OFF-PA-10001569;Xerox 232;2;11;32.4
FUR-CH-10003968;Novimex Turbo Task Chair;1;2;319.41
OFF-PA-10000587;Array Parchment Paper, Assorted Colors;2;11;14.56
OFF-BI-10001460;Plastic Binding Combs;2;9;48.48
OFF-AR-10001868;Prang Dustless Chalk Sticks;2;7;1.68
TEC-AC-10004633;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack;3;12;13.98
OFF-BI-10001078;"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""";2;9;25.824
OFF-PA-10003892;Xerox 1943;2;11;146.73
FUR-FU-10000397;Luxo Economy Swing Arm Lamp;1;6;79.76
FUR-CH-10001146;Global Value Mid-Back Manager's Chair, Gray;1;2;213.115
OFF-AR-10002671;Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige;2;7;1113.024
TEC-PH-10002726;netTALK DUO VoIP Telephone Service;3;8;167.968
OFF-PA-10000482;Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate;2;11;75.88
OFF-BI-10004654;Avery Binding System Hidden Tab Executive Style Index Sets;2;9;4.616
OFF-PA-10004675;"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""";2;11;19.05
FUR-CH-10000513;High-Back Leather Manager's Chair;1;2;831.936
FUR-FU-10003708;"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""";1;6;97.04
OFF-ST-10004123;Safco Industrial Wire Shelving System;2;5;72.784
OFF-BI-10004182;Economy Binders;2;9;1.248
FUR-FU-10000260;"6"" Cubicle Wall Clock, Black";1;6;9.708
OFF-ST-10000615;SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h;2;5;27.24
FUR-FU-10003194;Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak;1;6;19.3
OFF-AP-10002118;"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators";2;10;208.16
OFF-BI-10002309;Avery Heavy-Duty EZD  Binder With Locking Rings;2;9;16.74
OFF-AR-10002053;Premium Writing Pencils, Soft, #2 by Central Association for the Blind;2;7;14.9
OFF-ST-10002370;Sortfiler Multipurpose Personal File Organizer, Black;2;5;21.39
OFF-EN-10000927;Jet-Pak Recycled Peel 'N' Seal Padded Mailers;2;13;200.984
OFF-ST-10003656;Safco Industrial Wire Shelving;2;5;230.376
FUR-CH-10000863;Novimex Swivel Fabric Task Chair;1;2;301.96
TEC-AC-10001998;Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired;3;12;19.99
OFF-LA-10000134;Avery 511;2;3;6.16
OFF-ST-10003442;Eldon Portable Mobile Manager;2;5;158.368
OFF-AR-10004930;Turquoise Lead Holder with Pocket Clip;2;7;20.1
OFF-PA-10000304;Xerox 1995;2;11;6.48
OFF-PA-10003177;Xerox 1999;2;11;12.96
FUR-FU-10003799;"Seth Thomas 13 1/2"" Wall Clock";1;6;53.34
OFF-BI-10002852;Ibico Standard Transparent Covers;2;9;32.96
OFF-BI-10004738;Flexible Leather- Look Classic Collection Ring Binder;2;9;5.682
FUR-FU-10000629;9-3/4 Diameter Round Wall Clock;1;6;96.53
OFF-BI-10001721;Trimflex Flexible Post Binders;2;9;51.312
OFF-AP-10000358;Fellowes Basic Home/Office Series Surge Protectors;2;10;77.88
OFF-PA-10003256;Avery Personal Creations Heavyweight Cards;2;11;64.624
TEC-AC-10001767;SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card;3;12;95.976
OFF-BI-10002609;Avery Hidden Tab Dividers for Binding Systems;2;9;1.788
OFF-PA-10004040;Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright);2;11;23.92
TEC-AC-10001552;Logitech K350 2.4Ghz Wireless Keyboard;3;12;238.896
FUR-FU-10004006;Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting;1;6;102.36
OFF-BI-10002794;"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets";2;9;36.882
TEC-AC-10003499;Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive;3;12;74.112
TEC-PH-10002844;Speck Products Candyshell Flip Case;3;8;27.992
OFF-AR-10000390;Newell Chalk Holder;2;7;3.304
TEC-AC-10000844;Logitech Gaming G510s - Keyboard;3;12;339.96
FUR-FU-10001934;Magnifier Swing Arm Lamp;1;6;41.96
OFF-AR-10000380;Hunt PowerHouse Electric Pencil Sharpener, Blue;2;7;75.96
OFF-BI-10003981;"Avery Durable Plastic 1"" Binders";2;9;27.24
OFF-FA-10000621;OIC Colored Binder Clips, Assorted Sizes;2;14;40.096
OFF-EN-10002600;Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2;2;13;4.72
OFF-PA-10004965;Xerox 1921;2;11;23.976
OFF-EN-10002504;Tyvek  Top-Opening Peel & Seel Envelopes, Plain White;2;13;130.464
FUR-TA-10001768;Hon Racetrack Conference Tables;1;4;787.53
OFF-BI-10003650;GBC DocuBind 300 Electric Binding Machine;2;9;157.794
FUR-FU-10002157;Artistic Insta-Plaque;1;6;47.04
OFF-ST-10000777;Companion Letter/Legal File, Black;2;5;226.56
OFF-EN-10002500;Globe Weis Peel & Seel First Class Envelopes;2;13;115.02
TEC-PH-10003875;KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7;3;8;68.04
FUR-CH-10004063;Global Deluxe High-Back Manager's Chair;1;2;600.558
FUR-TA-10004534;Bevis 44 x 96 Conference Tables;1;4;617.7
OFF-BI-10003274;Avery Durable Slant Ring Binders, No Labels;2;9;2.388
OFF-ST-10002974;Trav-L-File Heavy-Duty Shuttle II, Black;2;5;243.992
FUR-FU-10003773;Eldon Cleatmat Plus Chair Mats for High Pile Carpets;1;6;238.56
TEC-PH-10002293;Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5;3;8;59.97
OFF-PA-10002377;Xerox 1916;2;11;78.304
OFF-FA-10002780;Staples;2;14;21.456
OFF-PA-10001804;Xerox 195;2;11;20.04
OFF-PA-10001736;Xerox 1880;2;11;35.44
OFF-AR-10001149;Sanford Colorific Colored Pencils, 12/Box;2;7;11.52
OFF-FA-10002988;Ideal Clamps;2;14;4.02
OFF-BI-10004781;GBC Wire Binding Strips;2;9;76.176
OFF-SU-10001218;Fiskars Softgrip Scissors;2;15;65.88
OFF-AR-10000940;Newell 343;2;7;8.82
OFF-EN-10004030;Convenience Packs of Business Envelopes;2;13;10.86
OFF-PA-10004327;Xerox 1911;2;11;143.7
OFF-AP-10001058;Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators;2;10;839.43
FUR-FU-10000521;"Seth Thomas 14"" Putty-Colored Wall Clock";1;6;93.888
TEC-PH-10000215;Plantronics Cordless Phone Headset with In-line Volume - M214C;3;8;384.45
TEC-PH-10001448;Anker Astro 15000mAh USB Portable Charger;3;8;149.97
OFF-BI-10002735;GBC Prestige Therm-A-Bind Covers;2;9;171.55
OFF-AP-10000326;Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection;2;10;157.92
TEC-PH-10001254;Jabra BIZ 2300 Duo QD Duo Corded Headset;3;8;203.184
OFF-PA-10001950;Southworth 25% Cotton Antique Laid Paper & Envelopes;2;11;58.38
OFF-PA-10002254;Xerox 1883;2;11;105.52
OFF-ST-10001590;Tenex Personal Project File with Scoop Front Design, Black;2;5;80.88
OFF-AR-10001547;Newell 311;2;7;6.63
OFF-LA-10002475;Avery 519;2;3;14.62
TEC-PH-10004536;Avaya 5420 Digital phone;3;8;944.93
OFF-PA-10002751;Xerox 1920;2;11;5.98
TEC-AC-10003657;Lenovo 17-Key USB Numeric Keypad;3;12;54.384
OFF-EN-10001990;Staple envelope;2;13;28.4
OFF-BI-10004002;Wilson Jones International Size A4 Ring Binders;2;9;27.68
OFF-AR-10004441;BIC Brite Liner Highlighters;2;7;9.936
TEC-MA-10000822;Lexmark MX611dhe Monochrome Laser Printer;3;16;8159.952
OFF-ST-10000991;Space Solutions HD Industrial Steel Shelving.;2;5;275.928
FUR-CH-10004287;SAFCO Arco Folding Chair;1;2;1740.06
OFF-AR-10002656;Sanford Liquid Accent Highlighters;2;7;32.064
OFF-AP-10002518;Kensington 7 Outlet MasterPiece Power Center;2;10;177.98
TEC-PH-10003931;JBL Micro Wireless Portable Bluetooth Speaker;3;8;143.976
OFF-PA-10000659;Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”;2;11;20.94
OFF-PA-10001144;Xerox 1913;2;11;110.96
FUR-CH-10003817;Global Value Steno Chair, Gray;1;2;340.144
OFF-AP-10000891;Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center;2;10;52.448
OFF-LA-10003148;Avery 51;2;3;20.16
OFF-AP-10002684;Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection;2;10;97.264
FUR-CH-10004698;Padded Folding Chairs, Black, 4/Carton;1;2;396.802
OFF-SU-10002189;Acme Rosewood Handle Letter Opener;2;15;15.88
OFF-AR-10001940;Sanford Colorific Eraseable Coloring Pencils, 12 Count;2;7;3.28
OFF-ST-10003455;Tenex File Box, Personal Filing Tote with Lid, Black;2;5;24.816
TEC-AC-10004659;"Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB";3;12;408.744
TEC-PH-10003273;AT&T TR1909W;3;8;503.96
TEC-PH-10004896;Nokia Lumia 521 (T-Mobile);3;8;149.95
TEC-AC-10002345;HP Standard 104 key PS/2 Keyboard;3;12;29
OFF-BI-10001890;Avery Poly Binder Pockets;2;9;7.16
TEC-AC-10002323;SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card;3;12;176.8
OFF-ST-10001328;Personal Filing Tote with Lid, Black/Gray;2;5;37.224
FUR-BO-10002613;Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors;1;1;899.136
TEC-PH-10001552;I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink;3;8;71.76
OFF-PA-10000061;Xerox 205;2;11;51.84
OFF-AR-10003514;4009 Highlighters by Sanford;2;7;19.9
OFF-AR-10004685;Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set;2;7;7.408
OFF-AR-10004027;Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box;2;7;6.048
OFF-ST-10001414;Decoflex Hanging Personal Folder File;2;5;46.26
OFF-BI-10000343;"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue";2;9;2.946
OFF-PA-10002749;Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page;2;11;16.056
OFF-PA-10002666;Southworth 25% Cotton Linen-Finish Paper & Envelopes;2;11;21.744
FUR-TA-10004289;BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables;1;4;218.75
OFF-AP-10003622;Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack;2;10;2.6
OFF-AP-10003217;Eureka Sanitaire  Commercial Upright;2;10;66.284
FUR-FU-10002960;Eldon 200 Class Desk Accessories, Burgundy;1;6;35.168
TEC-PH-10001918;Nortel Business Series Terminal T7208 Digital phone;3;8;444.768
OFF-ST-10000642;Tennsco Lockers, Gray;2;5;83.92
TEC-PH-10001700;Panasonic KX-TG6844B Expandable Digital Cordless Telephone;3;8;131.98
OFF-FA-10000134;Advantus Push Pins, Aluminum Head;2;14;52.29
OFF-ST-10001522;Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h;2;5;91.99
TEC-AC-10001266;Memorex Micro Travel Drive 8 GB;3;12;20.8
OFF-LA-10004544;Avery 505;2;3;23.68
FUR-BO-10004695;O'Sullivan 2-Door Barrister Bookcase in Odessa Pine;1;1;452.45
TEC-MA-10000864;Cisco 9971 IP Video Phone Charcoal;3;16;1188
TEC-AC-10000109;Sony Micro Vault Click 16 GB USB 2.0 Flash Drive;3;12;89.584
TEC-PH-10002563;Adtran 1202752G1;3;8;302.376
OFF-FA-10000585;OIC Bulk Pack Metal Binder Clips;2;14;5.584
OFF-PA-10004000;While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle;2;11;22.704
FUR-FU-10000087;"Executive Impressions 14"" Two-Color Numerals Wall Clock";1;6;72.704
TEC-MA-10001148;Swingline SM12-08 MicroCut Jam Free Shredder;3;16;479.988
OFF-AR-10001958;Stanley Bostitch Contemporary Electric Pencil Sharpeners;2;7;27.168
OFF-AR-10001026;Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow;2;7;2.2
FUR-TA-10003748;Bevis 36 x 72 Conference Tables;1;4;622.45
OFF-ST-10002485;Rogers Deluxe File Chest;2;5;21.98
FUR-CH-10004860;Global Low Back Tilter Chair;1;2;161.568
FUR-CH-10004477;Global Push Button Manager's Chair, Indigo;1;2;389.696
OFF-BI-10001679;GBC Instant Index System for Binding Systems;2;9;18.648
FUR-TA-10001705;Bush Advantage Collection Round Conference Table;1;4;233.86
FUR-TA-10003473;Bretford Rectangular Conference Table Tops;1;4;620.6145
FUR-FU-10004017;"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""";1;6;258.072
TEC-AC-10003832;Logitech P710e Mobile Speakerphone;3;12;617.976
OFF-PA-10002479;Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright);2;11;10.56
OFF-PA-10003349;Xerox 1957;2;11;25.92
FUR-FU-10000576;Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base;1;6;419.68
FUR-FU-10004351;Staple-based wall hangings;1;6;11.688
TEC-PH-10000011;PureGear Roll-On Screen Protector;3;8;31.984
FUR-TA-10002607;KI Conference Tables;1;4;177.225
FUR-FU-10002505;Eldon 100 Class Desk Accessories;1;6;4.044
OFF-ST-10002276;Safco Steel Mobile File Cart;2;5;166.72
OFF-PA-10004082;Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book;2;11;47.88
OFF-AP-10002945;Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room;2;10;1503.25
FUR-CH-10002965;Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black;1;2;321.568
OFF-PA-10004569;"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page";2;11;7.61
OFF-ST-10001228;Fellowes Personal Hanging Folder Files, Navy;2;5;80.58
OFF-EN-10003296;Tyvek Side-Opening Peel & Seel Expanding Envelopes;2;13;361.92
OFF-ST-10004804;"Belkin 19"" Vented Equipment Shelf, Black";2;5;82.368
TEC-PH-10001580;Logitech Mobile Speakerphone P710e - speaker phone;3;8;647.904
TEC-AC-10000290;Sabrent 4-Port USB 2.0 Hub;3;12;20.37
OFF-ST-10002790;Safco Industrial Shelving;2;5;221.55
OFF-BI-10003460;Acco 3-Hole Punch;2;9;17.52
OFF-AP-10002203;Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac;2;10;1.624
TEC-MA-10003353;Xerox WorkCentre 6505DN Laser Multifunction Printer;3;16;2519.958
TEC-PH-10001433;Cisco Small Business SPA 502G VoIP phone;3;8;328.224
TEC-AC-10004469;Microsoft Sculpt Comfort Mouse;3;12;79.9
OFF-AR-10003602;Quartet Omega Colored Chalk, 12/Pack;2;7;14.016
OFF-FA-10003472;Bagged Rubber Bands;2;14;7.56
OFF-ST-10004180;Safco Commercial Shelving;2;5;37.208
OFF-EN-10004386;Recycled Interoffice Envelopes with String and Button Closure, 10 x 13;2;13;57.576
OFF-ST-10003208;Adjustable Depth Letter/Legal Cart;2;5;725.84
TEC-AC-10003628;Logitech 910-002974 M325 Wireless Mouse for Web Scrolling;3;12;209.93
FUR-FU-10003274;Regeneration Desk Collection;1;6;5.28
OFF-BI-10002557;Presstex Flexible Ring Binders;2;9;10.92
OFF-PA-10002615;"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled";2;11;8.82
OFF-AR-10001427;Newell 330;2;7;5.98
OFF-PA-10000673;Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad;2;11;11.648
OFF-PA-10004470;"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages";2;11;18.176
OFF-ST-10000876;Eldon Simplefile Box Office;2;5;59.712
OFF-LA-10002043;Avery 489;2;3;24.84
OFF-BI-10004967;Round Ring Binders;2;9;2.08
TEC-PH-10001760;Bose SoundLink Bluetooth Speaker;3;8;1114.4
FUR-TA-10002903;"Bevis Round Bullnose 29"" High Table Top";1;4;1038.84
OFF-PA-10000474;Easy-staple paper;2;11;141.76
TEC-AC-10001956;Microsoft Arc Touch Mouse;3;12;239.8
OFF-PA-10004100;Xerox 216;2;11;31.104
OFF-BI-10000778;GBC VeloBinder Electric Binding Machine;2;9;254.058
OFF-SU-10000646;Premier Automatic Letter Opener;2;15;961.48
OFF-FA-10002983;Advantus SlideClip Paper Clips;2;14;19.096
OFF-LA-10004689;Avery 512;2;3;18.496
TEC-AC-10002001;Logitech Wireless Gaming Headset G930;3;12;255.984
FUR-BO-10004709;Bush Westfield Collection Bookcases, Medium Cherry Finish;1;1;86.97
FUR-FU-10004091;"Howard Miller 13"" Diameter Goldtone Round Wall Clock";1;6;300.416
FUR-CH-10001891;Global Deluxe Office Fabric Chairs;1;2;230.352
FUR-FU-10002918;Eldon ClusterMat Chair Mat with Cordless Antistatic Protection;1;6;218.352
OFF-BI-10004593;Ibico Laser Imprintable Binding System Covers;2;9;78.6
OFF-FA-10004854;Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box;2;14;27.552
OFF-PA-10002105;Xerox 223;2;11;32.4
OFF-ST-10002756;"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand";2;5;1082.48
OFF-PA-10004243;Xerox 1939;2;11;56.91
FUR-FU-10001861;Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts;1;6;77.6
OFF-BI-10002706;Avery Premier Heavy-Duty Binder with Round Locking Rings;2;9;14.28
FUR-TA-10002533;BPI Conference Tables;1;4;219.075
FUR-FU-10002671;Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp;1;6;26.8
OFF-AR-10003651;Newell 350;2;7;9.84
OFF-BI-10001072;GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack;2;9;45.48
OFF-AR-10002135;Boston Heavy-Duty Trimline Electric Pencil Sharpeners;2;7;289.2
OFF-AR-10002804;Faber Castell Col-Erase Pencils;2;7;4.89
FUR-FU-10001918;C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings;1;6;15.136
FUR-CH-10004086;Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs;1;2;466.768
FUR-FU-10001756;Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany;1;6;15.232
OFF-LA-10000634;Avery 509;2;3;6.264
FUR-FU-10001588;Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black;1;6;87.54
TEC-PH-10002398;AT&T 1070 Corded Phone;3;8;178.384
OFF-PA-10001937;Xerox 21;2;11;15.552
OFF-AR-10003373;Boston School Pro Electric Pencil Sharpener, 1670;2;7;99.136
FUR-CH-10002602;DMI Arturo Collection Mission-style Design Wood Chair;1;2;135.882
TEC-MA-10002927;Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier;3;16;3991.98
TEC-AC-10000892;NETGEAR N750 Dual Band Wi-Fi Gigabit Router;3;12;360
OFF-FA-10000624;OIC Binder Clips;2;14;7.16
TEC-AC-10001908;Logitech Wireless Headset h800;3;12;99.99
FUR-FU-10001967;Telescoping Adjustable Floor Lamp;1;6;15.992
TEC-PH-10003645;Aastra 57i VoIP phone;3;8;290.898
OFF-ST-10000675;File Shuttle II and Handi-File, Black;2;5;54.224
FUR-CH-10003312;Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs;1;2;786.744
OFF-LA-10001074;Round Specialty Laser Printer Labels;2;3;100.24
OFF-BI-10001524;GBC Premium Transparent Covers with Diagonal Lined Pattern;2;9;37.764
TEC-PH-10004614;AT&T 841000 Phone;3;8;82.8
OFF-BI-10001153;Ibico Recycled Grain-Textured Covers;2;9;20.724
OFF-BI-10001982;Wilson Jones Custom Binder Spines & Labels;2;9;4.896
OFF-BI-10001922;Storex Dura Pro Binders;2;9;4.752
TEC-CO-10001449;Hewlett Packard LaserJet 3310 Copier;3;17;959.984
OFF-BI-10004140;Avery Non-Stick Binders;2;9;14.368
OFF-BI-10003314;Tuff Stuff Recycled Round Ring Binders;2;9;7.712
FUR-TA-10004575;Hon 5100 Series Wood Tables;1;4;698.352
OFF-FA-10000490;"OIC Binder Clips, Mini, 1/4"" Capacity, Black";2;14;4.96
OFF-AR-10000122;Newell 314;2;7;17.856
TEC-PH-10000702;"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White";3;8;71.928
OFF-AR-10001374;BIC Brite Liner Highlighters, Chisel Tip;2;7;12.96
OFF-PA-10001970;Xerox 1881;2;11;24.56
OFF-BI-10002160;Acco Hanging Data Binders;2;9;3.048
OFF-BI-10004995;GBC DocuBind P400 Electric Binding System;2;9;4355.168
FUR-BO-10002268;Sauder Barrister Bookcases;1;1;388.704
OFF-EN-10001137;#10 Gummed Flap White Envelopes, 100/Box;2;13;8.26
OFF-AR-10002399;Dixon Prang Watercolor Pencils, 10-Color Set with Brush;2;7;17.04
OFF-PA-10002713;Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”;2;11;34.4
OFF-AP-10001124;Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection;2;10;647.84
OFF-LA-10001158;"Avery Address/Shipping Labels for Typewriters, 4"" x 2""";2;3;20.7
FUR-CH-10000785;Global Ergonomic Managers Chair;1;2;488.646
OFF-AR-10003732;Newell 333;2;7;5.56
FUR-FU-10000023;Eldon Wave Desk Accessories;1;6;47.12
OFF-BI-10002412;Wilson Jones “Snap” Scratch Pad Binder Tool for Ring Binders;2;9;23.2
OFF-SU-10001225;Staple remover;2;15;7.36
OFF-ST-10002406;Pizazz Global Quick File;2;5;104.79
OFF-PA-10002036;Xerox 1930;2;11;25.92
OFF-ST-10002205;File Shuttle I and Handi-File;2;5;53.424
TEC-AC-10003911;NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router;3;12;1023.936
OFF-AR-10000658;Newell 324;2;7;9.24
TEC-AC-10002076;Microsoft Natural Keyboard Elite;3;12;479.04
OFF-PA-10003039;Xerox 1960;2;11;99.136
FUR-TA-10004915;"Office Impressions End Table, 20-1/2""H x 24""W x 20""D";1;4;1488.424
OFF-AP-10000696;Holmes Odor Grabber;2;10;8.652
OFF-ST-10003327;Akro-Mils 12-Gallon Tote;2;5;23.832
OFF-BI-10000309;"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black";2;9;12.176
OFF-PA-10004734;Southworth Structures Collection;2;11;50.96
